fecha,Precios al Consumidor (INPC),Subyacente,"Subyacente, Mercancias","Subyacente, Servicios","Subyacente, Servicios, Vivienda","Subyacente, Servicios, Educacion (colegiaturas)","Subyacente, Servicios, Otros servicios",No subyacente,"No subyacente, Agropecuarios","No subyacente, Agropecuarios, Frutas y verduras","No subyacente, Agropecuarios, Pecuarios","No subyacente, Energeticos y tarifas autorizadas por el gobierno","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Energeticos","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno"
15/04/2012,78.35582066,81.85815796,79.42744041,83.99528516,86.69433371,76.84982431,83.45491261,68.37081167,67.85148466,63.95772559,70.35756112,68.55495352,65.6882367,74.50558942
01/05/2012,77.98169962,81.97538326,79.5306388,84.12499991,86.78022355,76.93545036,83.6411551,66.62709741,68.04151262,64.29855714,70.45132357,65.7358455,61.55313143,74.51001172
15/05/2012,78.12593906,82.05977218,79.65097377,84.17721294,86.87998743,77.08373464,83.61684372,66.93612621,68.5809566,66.15531671,70.14954321,65.91593908,61.74555092,74.66324796
01/06/2012,78.31450207,82.14375248,79.85915786,84.15010809,86.95073297,77.11471475,83.47570458,67.41563691,69.53830429,69.13482477,69.81559627,66.12831152,62.04852756,74.68117612
15/06/2012,78.5128313,82.24552951,79.89939765,84.30685941,87.00782419,77.1537387,83.76658958,67.88369806,70.66171177,71.54176831,70.11951905,66.23028875,62.18850829,74.70156007
01/07/2012,78.81858886,82.41403822,80.08388954,84.4610035,87.08986914,77.17771052,84.03166935,68.57319349,72.25316814,72.26628384,72.26514332,66.41586869,62.45723669,74.70872133
15/07/2012,78.88920608,82.48722865,80.181947,84.51192853,87.16225089,77.22011766,84.06410515,68.63491265,72.13664083,72.16130724,72.14120568,66.576867,62.68802604,74.7199491
01/08/2012,78.99663441,82.61595994,80.40296628,84.55809018,87.22447434,77.86492138,83.90890296,68.68229608,71.88252451,70.89152004,72.53573203,66.79226665,62.97625624,74.77892856
15/08/2012,79.18444618,82.65530022,80.49288509,84.55219186,87.28451046,78.00706481,83.7923974,69.28549183,73.36104627,71.667244,74.46355087,66.90652919,63.15620196,74.75233576
01/09/2012,79.38202416,82.75324983,80.64791226,84.59906635,87.36187097,79.71802172,83.29353402,69.75988172,74.50927128,72.35193323,75.908162,67.00451771,63.27038014,74.81541911
